pid,blk,brcv,type
698979,CM-0250,,FG
699010,JJ-4300,,XP
700028,LG-1000,,XP
700932,JH-0840,JJ-1550,FG
701210,AB-3100,,XP
703062,BU-0150,ZO-0100,FG
703348,MH-3750,,XP
704594,BL-1350,,FG
704832,AC-2400,,XP
708903,JJ-4300,,XP
709298,CT-0900,,XP
711511,DM-1475,,FG
712040,RH-0150,,XP
712723,AH-3050,,FG
713045,BW-2020,,FG
714772,BW-0150,BW-0150,FG
714867,TM-1787,CM-0250,PUNT
716796,SB-0225,,XP
717806,TW-0160,GQ-0100,FG
718270,JP-2900,JJ-1550,FG
718489,JA-1025,CM-2675,PUNT
719415,JH-5900,,PUNT
720224,JS-3150,,XP
721619,SM-1050,,XP
721978,VB-0375,LK-0600,FG
722121,JB-3350,,XP
722770,SM-0500,,XP
723708,BL-1350,,XP
726205,DA-2050,,XP
726355,AB-2700,DH-2950,FG
727480,RH-0150,,XP
729544,JP-2850,,XP
730376,LJ-1700,XR-0100,FG
731708,SM-1050,LG-1000,FG
732093,WA-0050,WA-0050,PUNT
734689,VB-0375,,FG
735461,JM-3950,,FG
735850,PS-0550,,FG
736061,HR-0100,,XP
736179,RG-2375,,FG
736620,MH-3750,,XP
737599,KS-0850,ST-0550,FG
738119,SM-2450,NG-0350,PUNT
738630,DS-2200,AM-2950,PUNT
739216,CR-0750,KW-1250,PUNT
739692,CJ-2150,,XP
742930,TM-0825,AC-1350,PUNT
744009,SH-0150,,FG
748232,SM-2300,MC-2570,FG
752224,PR-0400,,FG
755783,CL-0987,MB-3862,PUNT
756442,KW-2800,,FG
756447,AG-1350,,FG
756722,EM-2100,,FG
757190,KS-0850,,FG
757696,KC-1225,,XP
758792,CM-0250,JB-0450,FG
759184,VT-0162,,FG
759313,EO-0075,,XP
759905,JW-4912,,PUNT
759926,HA-0400,,FG
760533,DB-0875,DB-0875,FG
760807,TC-2950,OS-0200,FG
762350,CL-0987,CM-3450,PUNT
762414,JH-1150,JH-1150,PUNT
762415,RS-2350,,XP
763240,AR-1115,,FG
763549,JL-0230,,XP
764084,CL-1000,,XP
764829,MH-3750,,XP
765421,RB-4670,RD-1187,PUNT
765741,TW-1137,,FG
767366,SB-0225,WP-0125,PUNT
767440,KR-1250,,FG
768026,AR-1115,,XP
768074,JL-0750,,FG
771042,TF-0250,MT-0850,PUNT
772609,TW-0160,,XP
772669,MB-3650,CL-0987,FG
775388,MT-0887,BC-2575,PUNT
777483,DB-0875,,XP
777549,KG-1200,DT-1225,PUNT
777617,MJ-0600,,FG
778402,WG-0550,,FG
778478,TJ-0950,LC-0650,FG
778602,AW-0262,TB-0625,PUNT
779126,CN-0250,,XP
780163,WG-0550,,XP
780309,JM-7100,,XP
782428,TS-2050,,XP
782902,AL-0325,,XP
783449,JE-0450,KM-1150,FG
783477,DA-2050,,XP
786111,TW-1137,,FG
788813,GA-0250,JJ-0525,PUNT
790350,SB-0225,,XP
791194,AO-0370,CR-1150,PUNT
791277,JJ-4573,JA-1025,PUNT
791344,JS-3150,CH-1500,FG
792799,CL-0987,BC-2575,PUNT
793784,KT-0150,TK-0850,PUNT
796654,VT-0162,,FG
796833,DW-0850,MC-2800,FG
797591,RN-1250,MB-3000,PUNT
799329,TA-0250,BS-0850,PUNT
801482,DH-2950,KV-0075,PUNT
803066,CL-0987,,PUNT
806387,DW-3125,,PUNT
808436,BB-2250,LC-0150,PUNT
808558,DA-2050,,XP
813010,MG-0287,,FG
813967,JS-3150,,FG
816315,AK-0337,,XP
816477,KP-0650,KP-0650,PUNT
816491,HA-0400,,XP
817314,HA-0400,RM-4100,FG
818281,AM-1200,RH-3300,PUNT
818514,TH-1625,DW-1550,PUNT
819694,BW-0150,,FG
821028,DA-2050,DL-0925,FG
823201,CF-0337,DH-3137,PUNT
824523,LF-0550,LF-0550,FG
827384,CM-0159,DG-0450,PUNT
827828,ZS-0075,,FG
828133,NG-0350,ZP-0050,PUNT
