pid,type,bc,psr,trg,conv
357139,PASS,,BF-0100,JC-5400,0
357778,RUSH,SS-1600,,,0
358867,PASS,,DA-1300,BE-0200,1
360256,PASS,,DO-0300,CJ-1100,1
360621,PASS,,DA-1300,BE-0200,1
362543,PASS,,JC-0500,CP-2100,0
363307,PASS,,KC-2000,AH-0300,1
363678,PASS,,DG-0600,JP-3400,0
363809,PASS,,JG-0600,IH-0100,0
363845,PASS,,JG-0600,AS-1700,1
364321,PASS,,MB-4800,DS-3700,0
365417,RUSH,KF-0200,,,0
365428,PASS,,PM-0200,RW-1100,1
366725,PASS,,SW-0100,JC-0700,0
367030,PASS,,JF-1900,DM-0500,1
367308,PASS,,DC-3200,BC-2500,0
367401,PASS,,TT-0900,TG-1300,0
367711,PASS,,EM-0200,PB-1000,0
367892,PASS,,KW-0500,LF-0200,0
368047,PASS,,MC-0700,JG-0100,1
369547,RUSH,DC-4400,,,0
370019,PASS,,MH-1600,BE-0600,0
371484,PASS,,SH-1100,IB-0200,0
372268,RUSH,DW-3600,,,1
372665,PASS,,DJ-1700,CC-0200,0
373080,PASS,,AR-1300,RM-0900,1
373087,RUSH,DM-0700,,,0
373550,PASS,,KW-0500,LF-0200,0
374188,PASS,,AR-1300,GJ-0400,1
374954,PASS,,PR-0300,MF-0800,0
376243,PASS,,MS-0200,AJ-0900,1
377003,RUSH,RB-4900,,,0
377016,PASS,,MR-2500,MJ-0800,1
377483,PASS,,MC-0700,WW-0200,1
378923,PASS,,PR-0300,CC-1300,0
378930,PASS,,PR-0300,AG-0500,0
379555,PASS,,DO-0300,CF-0600,1
379725,RUSH,MJ-2500,,,0
380372,PASS,,JR-3500,CS-0600,0
380524,PASS,,TR-0800,RW-3200,0
383047,PASS,,EM-0200,DH-3200,1
383789,PASS,,TT-0900,TG-1300,0
385339,PASS,,BF-0100,JC-5400,1
385680,RUSH,JC-6200,,,1
386697,PASS,,JD-1400,DW-3600,0
387315,PASS,,DM-2200,BW-1000,0
387331,PASS,,KW-0500,BP-0300,1
388298,PASS,,KO-0700,BM-0300,0
388740,RUSH,MJ-2500,,,0
389721,PASS,,AR-1300,GJ-0400,1
389875,PASS,,TB-2300,BW-0700,0
389880,PASS,,TB-2300,RM-5000,0
391699,PASS,,BL-0600,MS-5100,0
392952,PASS,,CP-0500,AC-0100,0
392977,PASS,,CP-0500,BL-0900,1
393124,PASS,,MS-4100,BJ-1800,0
394587,PASS,,JC-6200,EB-0600,1
395209,RUSH,TC-1300,,,1
396055,PASS,,KC-2000,AC-2700,0
396084,RUSH,CJ-1700,,,1
396241,RUSH,MC-0700,,,0
397509,PASS,,AR-1300,RG-1600,0
397974,PASS,,JD-1400,SS-2100,1
403820,PASS,,DB-3800,MC-2400,0
404441,PASS,,MS-0200,AJ-0900,1
404921,PASS,,MS-4100,MM-5300,1
405099,PASS,,AR-1300,RG-1600,0
405261,PASS,,PM-0200,PG-0100,0
405425,PASS,,MS-0100,BE-0200,0
405441,PASS,,CH-2400,GC-0200,0
405450,PASS,,MS-0100,DK-0400,0
407073,PASS,,MC-0700,JC-2300,1
407192,PASS,,TB-2300,RM-5000,1
407378,PASS,,JF-3100,KW-2300,0
407397,PASS,,JF-3100,MC-1500,1
407711,PASS,,JR-3700,SV-0100,0
